age,height,weight,sex,gender
19,72,180,0,m
19,70,160,0,m
19,70,135,0,m
19,71,195,0,m
19,64,130,1,f
19,64,120,1,f
21,69,135,1,f
19,67,125,0,m
19,62,120,1,f
20,66,145,0,m
19,65,155,0,m
19,69,135,1,f
19,66,140,0,m
19,63,120,1,f
19,69,140,0,m
18,66,113,1,f
18,68,180,0,m
19,72,175,0,m
19,70,169,0,m
19,74,210,0,m
20,66,104,1,f
20,64,105,1,f
20,65,125,1,f
20,71,120,1,f
19,69,119,1,f
20,64,140,1,f
20,67,185,1,f
19,60,110,1,f
20,66,120,1,f
19,71,175,0,m
19,65,135,1,f
19,70,120,0,m
21,69,142,0,m
20,63,108,1,f
19,63,118,1,f
20,72,135,0,m
19,73,169,0,m
19,69,145,0,m
27,69,130,1,f
18,64,135,0,m
20,61,115,1,f
19,68,140,0,m
21,70,152,0,m
19,64,118,1,f
19,62,112,1,f
19,64,100,1,f
20,67,135,1,f
20,63,110,1,f
20,68,135,0,m
18,63,115,1,f
19,68,145,0,m
19,65,115,1,f
19,63,128,1,f
20,68,140,1,f
19,69,130,0,m
19,69,165,0,m
19,69,130,0,m
20,70,180,0,m
28,65,110,1,f
19,70,155,0,m
